Ignition-Event Count,Time Cue Number,Ignition Seconds,Number Of Devices,Unused1,Unused2,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Item Name,Caliber,Category,Angles,Position Name,Position Distance (m),Module Type,Module Address,Slat Address,Pin Address,Unused4,Notes,Product ID,Mfg And Mfg ID,Unique ID,Location Primary,Location Secondary,Ignition Time*,Device Ignition Time*,Effect Time*,Mortar Caliber,Track Identifier
33,33,256,1,,Rocket(1),,,0,0,Rocket(1),"1.5""",Rocket,|,Pos-01,91.44,Default,1,,1,,,,,http://www.finalefireworks.com/api/fireworks/1000132,,,12:04:16 AM,12:04:20 AM,12:04:20 AM,,
34,34,371,2,,Rocket (2),,,0,0,Rocket (2),"1.5""",Rocket,|,Pos-01,92.44,Default,1,,2,,,,,http://www.finalefireworks.com/api/fireworks/1000133,,,12:06:11 AM,12:06:15 AM,12:06:15 AM,,
35,35,441,3,,Rocket (3),,,0,0,Rocket (3),"1.5""",Rocket,|,Pos-01,93.44,Default,1,,3,,,,,http://www.finalefireworks.com/api/fireworks/1000134,,,12:07:21 AM,12:07:25 AM,12:07:25 AM,,
36,36,489,4,,Rocket (4),,,0,0,Rocket (4),"1.5""",Rocket,|,Pos-01,94.44,Default,1,,4,,,,,http://www.finalefireworks.com/api/fireworks/1000135,,,12:08:09 AM,12:08:13 AM,12:08:13 AM,,
37,37,556,5,,Rocket (5),,,0,0,Rocket (5),"1.5""",Rocket,|,Pos-01,95.44,Default,1,,5,,,,,http://www.finalefireworks.com/api/fireworks/1000136,,,12:09:16 AM,12:09:20 AM,12:09:20 AM,,
38,38,623,6,,Rocket (6),,,0,0,Rocket (6),"1.5""",Rocket,|,Pos-01,96.44,Default,1,,6,,,,,http://www.finalefireworks.com/api/fireworks/1000137,,,12:10:23 AM,12:10:27 AM,12:10:27 AM,,
39,39,700,7,,Rocket (7),,,0,0,Rocket (7),"1.5""",Rocket,|,Pos-01,97.44,Default,1,,7,,,,,http://www.finalefireworks.com/api/fireworks/1000138,,,12:11:40 AM,12:11:44 AM,12:11:44 AM,,
40,40,702,8,,American Anthem,,,0,0,American Anthem,"1.5""",Cake,|,Pos-02,98.44,Default,2,,1,,,,,http://www.finalefireworks.com/api/fireworks/1000139,,,12:11:42 AM,12:11:44 AM,12:11:44 AM,,
41,41,731,9,,Huge White Strobe,,,0,0,Huge White Strobe,"1.5""",Cake,|,Pos-02,99.44,Default,2,,2,,,,,http://www.finalefireworks.com/api/fireworks/1000140,,,12:12:11 AM,12:12:13 AM,12:12:13 AM,,
42,42,759,10,,Rocket (8),,,0,0,Rocket (8),"1.5""",Rocket,|,Pos-01,100.44,Default,1,,8,,,,,http://www.finalefireworks.com/api/fireworks/1000141,,,12:12:39 AM,12:12:43 AM,12:12:43 AM,,
43,43,761,11,,Melted Neon,,,0,0,Melted Neon,"1.5""",Cake,|,Pos-02,101.44,Default,2,,3,,,,,http://www.finalefireworks.com/api/fireworks/1000142,,,12:12:41 AM,12:12:43 AM,12:12:43 AM,,
